item_id,item_category,price,seller_id
114,outdoor,16.06 ,1
115,outdoor,29.48 ,44
116,outdoor,61.08 ,44
117,outdoor,86.87 ,44
118,outdoor,72.10 ,44
119,outdoor,1.27 ,44
120,outdoor,91.13 ,44
121,outdoor,45.68 ,44
122,outdoor,55.36 ,44
123,outdoor,77.33 ,44
124,outdoor,61.27 ,44
125,outdoor,29.37 ,44
126,outdoor,15.11 ,44
127,outdoor,83.21 ,44
128,outdoor,17.44 ,44
129,outdoor,37.09 ,44
130,outdoor,85.03 ,44
131,outdoor,95.81 ,44
132,outdoor,34.20 ,44
133,outdoor,8.98 ,44
134,outdoor,19.00 ,44
135,outdoor,52.61 ,44
136,outdoor,35.33 ,44
137,outdoor,39.84 ,44
138,outdoor,91.81 ,44
139,outdoor,93.45 ,44
140,outdoor,82.35 ,44
141,outdoor,95.24 ,44
142,outdoor,17.90 ,44
143,outdoor,61.40 ,44
144,outdoor,84.00 ,44
145,outdoor,94.75 ,44
146,outdoor,75.42 ,44
147,outdoor,53.95 ,44
148,outdoor,47.47 ,44
149,outdoor,26.83 ,44
150,outdoor,89.84 ,44
151,outdoor,10.64 ,44
152,outdoor,13.16 ,44
153,outdoor,72.00 ,22
154,outdoor,64.06 ,22
155,outdoor,94.68 ,22
156,outdoor,34.07 ,22
157,outdoor,33.31 ,22
158,outdoor,30.98 ,22
159,outdoor,31.37 ,22
160,outdoor,50.09 ,22
161,outdoor,22.99 ,22
162,outdoor,24.69 ,22
163,outdoor,22.43 ,22
164,outdoor,3.91 ,22
165,outdoor,64.89 ,22
166,outdoor,21.53 ,22
167,outdoor,3.31 ,22
168,outdoor,24.66 ,22
169,outdoor,43.63 ,22
170,outdoor,14.85 ,22
171,outdoor,44.10 ,22
172,outdoor,1.21 ,22
173,outdoor,5.08 ,22
174,outdoor,65.94 ,22
175,outdoor,50.54 ,22
176,outdoor,19.75 ,22
177,outdoor,31.72 ,22
178,outdoor,71.72 ,100
179,outdoor,36.23 ,100
180,outdoor,81.55 ,100
181,outdoor,96.53 ,100
182,outdoor,51.36 ,100
183,outdoor,23.88 ,100
184,outdoor,24.06 ,100
185,outdoor,75.62 ,100
186,outdoor,52.28 ,100
187,outdoor,76.55 ,100
188,outdoor,20.77 ,100
189,outdoor,38.37 ,100
190,outdoor,13.42 ,100
191,outdoor,68.84 ,100
192,outdoor,73.30 ,100
193,outdoor,41.56 ,100
194,outdoor,7.79 ,100
195,outdoor,5.04 ,100
196,outdoor,51.22 ,100
197,outdoor,9.85 ,100
198,outdoor,63.78 ,100
199,outdoor,54.15 ,100
200,outdoor,80.21 ,100
201,outdoor,87.83 ,100
202,outdoor,76.55 ,100
203,clothes,10.09 ,100
204,clothes,43.42 ,100
205,clothes,40.24 ,100
206,clothes,76.51 ,100
207,clothes,82.14 ,100
208,clothes,49.16 ,100
209,clothes,36.89 ,11
210,clothes,34.62 ,11
211,clothes,5.17 ,11
212,clothes,67.56 ,11
213,clothes,55.04 ,11
214,clothes,86.85 ,11
215,clothes,11.19 ,11
216,clothes,4.96 ,11
217,clothes,22.13 ,11
218,clothes,75.53 ,11
219,clothes,48.07 ,11
220,clothes,23.53 ,11
221,clothes,8.86 ,11
222,clothes,27.04 ,11
223,clothes,3.82 ,11
224,clothes,55.01 ,11
225,clothes,40.61 ,11
226,clothes,72.38 ,11
227,clothes,42.73 ,11
228,clothes,19.58 ,11
229,clothes,34.61 ,11
230,clothes,86.27 ,11
231,clothes,38.94 ,11
232,clothes,18.30 ,11
233,clothes,87.93 ,11
234,clothes,54.31 ,11
235,clothes,35.68 ,42
236,clothes,12.87 ,42
237,clothes,73.31 ,42
238,clothes,94.01 ,42
239,clothes,26.31 ,42
240,clothes,52.81 ,42
241,clothes,35.10 ,42
242,clothes,48.45 ,42
243,clothes,19.29 ,42
244,clothes,74.75 ,42
245,clothes,14.15 ,42
246,clothes,10.89 ,42
247,clothes,96.86 ,42
248,clothes,84.32 ,42
249,clothes,31.12 ,42
250,clothes,65.38 ,42
251,clothes,57.79 ,42
252,clothes,67.84 ,42
253,clothes,90.12 ,42
254,clothes,99.12 ,42
255,clothes,49.46 ,42
256,clothes,93.77 ,42
257,clothes,95.69 ,42
258,clothes,64.62 ,42
259,clothes,87.40 ,42
260,clothes,13.41 ,42
261,clothes,96.56 ,42
262,clothes,26.17 ,42
263,clothes,57.04 ,42
264,clothes,22.91 ,42
265,clothes,13.73 ,42
266,clothes,72.38 ,42
267,clothes,60.91 ,42
268,clothes,15.91 ,42
269,clothes,17.37 ,42
270,clothes,66.43 ,42
271,clothes,18.03 ,42
272,clothes,47.39 ,42
273,clothes,14.15 ,42
274,clothes,32.30 ,42
275,clothes,28.54 ,42
276,clothes,13.12 ,42
277,clothes,8.04 ,42
278,clothes,93.96 ,42
279,clothes,79.71 ,42
280,clothes,88.01 ,42
281,clothes,3.51 ,42
282,clothes,28.70 ,42
283,clothes,97.89 ,42
284,clothes,15.16 ,42
285,electronics,17.82 ,42
286,electronics,76.62 ,42
287,electronics,57.82 ,42
288,electronics,43.31 ,42
289,electronics,25.14 ,42
290,electronics,87.65 ,42
291,electronics,39.32 ,42
292,electronics,91.48 ,42
293,electronics,5.92 ,42
294,electronics,46.28 ,42
295,electronics,60.44 ,42
296,electronics,79.40 ,42
297,electronics,98.74 ,42
298,electronics,18.42 ,42
299,electronics,25.94 ,42
300,electronics,54.06 ,42
301,electronics,70.53 ,42
302,electronics,83.54 ,42
303,electronics,65.32 ,42
304,electronics,97.63 ,42
305,electronics,76.37 ,42
306,electronics,46.41 ,42
307,electronics,16.45 ,42
308,electronics,64.27 ,42
309,electronics,2.68 ,42
310,electronics,18.99 ,42
311,electronics,80.91 ,42
312,electronics,44.47 ,42
313,electronics,89.96 ,42
314,electronics,32.97 ,42
315,electronics,96.87 ,42
316,electronics,71.36 ,42
317,electronics,26.00 ,42
318,electronics,8.30 ,42
319,electronics,76.69 ,42
320,electronics,12.19 ,42
321,electronics,92.38 ,42
322,electronics,12.58 ,42
323,electronics,5.25 ,42
324,electronics,94.48 ,42
325,electronics,62.13 ,42
326,electronics,46.23 ,42
327,electronics,17.31 ,42
328,electronics,17.14 ,42
329,electronics,75.02 ,42
330,electronics,95.83 ,42
331,electronics,31.43 ,42
332,electronics,97.14 ,42
333,electronics,36.56 ,42
334,electronics,73.45 ,42
335,electronics,45.02 ,42
336,electronics,85.96 ,42
337,electronics,16.13 ,42
338,electronics,58.86 ,42
339,electronics,57.31 ,67
340,electronics,83.85 ,67
341,electronics,9.75 ,67
342,electronics,71.39 ,67
343,electronics,24.30 ,67
344,electronics,37.24 ,67
345,electronics,23.02 ,67
346,electronics,62.22 ,67
347,electronics,3.28 ,67
348,electronics,85.06 ,67
349,electronics,78.52 ,67
350,electronics,5.56 ,67
351,electronics,78.46 ,67
352,electronics,14.03 ,67
353,electronics,7.76 ,67
354,electronics,58.45 ,67
355,electronics,15.75 ,67
356,electronics,44.08 ,67
357,electronics,40.10 ,67
358,electronics,9.01 ,67
359,electronics,47.49 ,67
360,electronics,27.51 ,67
361,electronics,51.78 ,67
362,electronics,21.26 ,67
363,electronics,35.21 ,67
364,electronics,87.07 ,67
365,electronics,86.48 ,67
366,electronics,25.66 ,67
367,electronics,43.60 ,67
368,electronics,69.63 ,67
369,electronics,0.33 ,67
370,electronics,3.95 ,67
371,electronics,65.54 ,67
372,electronics,37.60 ,67
373,electronics,93.41 ,67
374,electronics,24.61 ,67
375,electronics,94.84 ,67
376,electronics,41.75 ,67
377,electronics,22.82 ,67
378,electronics,76.60 ,67
379,electronics,8.67 ,67
380,electronics,5.81 ,67
381,electronics,56.83 ,67
382,electronics,88.53 ,67
383,electronics,85.03 ,67
384,electronics,48.30 ,67
385,electronics,62.55 ,67
386,electronics,57.77 ,67
387,electronics,69.92 ,67
388,electronics,18.36 ,67
389,electronics,21.17 ,67
390,auto,44.08 ,67
391,auto,17.81 ,67
392,auto,75.79 ,67
393,auto,91.01 ,67
394,auto,46.52 ,67
395,auto,24.18 ,67
396,auto,84.33 ,67
397,auto,62.32 ,67
398,auto,82.42 ,67
399,auto,55.18 ,67
400,auto,35.01 ,67
