id,customer_id,cart_id
174,0067-6426,#879d0b
175,54868-5793,#f463ab
176,67457-486,#85566a
177,57520-0918,#16dee1
178,52862-302,#0c10d8
179,34666-060,#f5eae0
180,0093-5172,#697750
181,52686-677,#add6b3
182,0378-0257,#4e88e0
183,64720-159,#3d02ed
184,44924-132,#7175e5
185,57664-003,#b4facb
186,24338-104,#873e98
187,57237-035,#3ef0f7
188,0409-6637,#6c84c1
189,0869-0876,#7a85a3
190,57520-0243,#516d2b
191,65162-679,#8d897b
192,68001-131,#c5c047
193,61957-9404,#425134
194,11673-294,#3707a6
195,50491-585,#335eee
196,50114-4336,#dac1bf
197,41250-528,#cafd87
198,16590-584,#458730
199,53217-020,#cd8144
200,36987-1475,#0715e3
201,0944-8402,#1d5811
202,68026-524,#525084
203,55154-2429,#edc6db
204,50114-0988,#3b36eb
205,59667-0070,#19fa09
206,63539-014,#ed0a3c
207,49349-521,#122090
208,44911-0039,#5db051
209,76457-001,#c8fc9e
210,50436-3075,#33ccc3
211,35356-582,#d617bd
212,54569-1229,#9b9a9a
213,61543-1772,#c66bbe
214,64942-1174,#3fe76d
215,67938-1163,#b855a7
216,42669-001,#cdd2f7
217,24385-428,#2935c4
218,10019-063,#1004ee
219,59011-451,#80207b
220,58593-781,#51b128
221,0268-1242,#986443
222,15370-033,#f202f4
223,68828-066,#260ef9
224,59115-057,#624cf2
225,54575-461,#995a91
226,60505-2536,#c8b33c
227,45802-981,#a18587
228,48951-3061,#40951a
229,62756-522,#7ad396
230,35356-211,#2f2518
231,63323-648,#373741
232,17089-233,#e2cda7
233,48951-2091,#8065cb
234,47682-010,#c5e9dc
235,68151-2347,#9d7a9f
236,46122-107,#0f703b
237,0280-6080,#b47fc5
238,76237-133,#c64a1d
239,55154-9390,#7a19a9
240,36987-1014,#4783c7
241,24559-091,#8dcefb
242,43553-3251,#62b5c0
243,0615-2519,#724ad5
244,24987-111,#66b036
245,52685-403,#314488
246,13709-230,#077d53
247,57664-116,#da387f
248,52686-301,#c19e86
249,36987-1706,#720f9c
250,15127-452,#598326
251,0067-2090,#ad28a3
252,0430-0471,#901d8a
253,21695-139,#e1d6eb
254,51660-905,#a0929e
255,63629-4872,#8ccc91
256,58980-610,#943307
257,37808-169,#d35ebb
258,68084-820,#cd2faf
259,43742-0407,#c5fdec
260,58133-062,#362e6d
261,0615-6585,#c18a84
262,47242-0011,#a85d62
263,43742-0497,#719a89
264,55301-619,#8c9905
265,68180-360,#a31974
266,68382-005,#ed2678
267,0603-1330,#91156e
268,68308-502,#f6bf00
269,54868-6125,#f01b8a
270,21695-823,#85029e
271,61589-6506,#b612ad
272,64990-605,#89020f
273,52685-368,#328d9f
274,55910-522,#a0d8e4
275,34690-7001,#879f41
276,58238-226,#829795
277,62806-0001,#cbed84
278,61577-2280,#7631b7
279,0904-5694,#cee644
280,65044-0854,#1508bd
281,59762-1410,#824d37
282,16590-187,#4a3879
283,62045-4333,#9306ec
284,49288-0705,#686196
285,54868-5838,#33ed7c
286,68094-106,#507fa2
287,67386-313,#d0d898
288,49035-560,#ff5a00
289,53389-113,#92880d
290,51206-304,#3fcaf3
291,0173-0521,#c7af0e
292,11822-9002,#68f661
293,13537-007,#62c638
294,55154-9432,#7214c5
295,0220-9054,#8f55b9
296,68572-6005,#196a46
297,50227-3211,#03449b
298,67046-670,#4c9d87
299,0006-3516,#1841b3
300,68001-264,#eabb88
301,49349-687,#3f44f0
302,0703-5656,#b47313
303,59779-522,#68d0ea
304,43063-454,#166528
305,43419-901,#1448f2
306,52686-320,#146cbc
307,65044-1437,#a6d9b5
308,49884-658,#91e1e5
309,41520-106,#e05488
310,53499-0990,#ee959e
311,67151-404,#30c628
312,0591-2223,#8b84a2
313,59535-0101,#2cf76b
314,61995-2385,#2fdc8d
315,0409-2585,#5ce177
316,70253-327,#f872f4
317,49349-033,#c0bb39
318,63287-425,#3dc908
319,76358-196,#26eb8b
320,33342-033,#439293
321,60429-767,#1c41c5
322,55312-958,#5ba5a4
323,17478-100,#5a7430
324,10812-536,#6a9fc8
325,0054-0118,#062588
326,0597-0287,#2b5f63
327,62442-001,#903577
328,24385-924,#2d0a6a
329,11673-521,#499825
330,64980-190,#1b1c19
331,41520-012,#d34731
332,63304-828,#b62d66
333,0603-2407,#6ddce7
334,36987-2782,#c743c5
335,0517-2650,#d475bd
336,59572-205,#a82f12
337,0078-0241,#f28e41
338,63354-010,#ce4cec
339,0409-3374,#eea8aa
340,59584-140,#d0bf1f
341,68382-123,#147c04
342,59630-480,#97ece0
343,41268-046,#d32c67
344,37000-270,#7e3f70
345,66949-875,#9749a1
346,59779-121,#94e91e
347,60660-7786,#9f82f4
348,50580-351,#3dd70e
349,66336-902,#7942bb
350,55154-3437,#f4faa2
351,50114-1075,#0a23ce
352,10812-340,#09f0ce
353,51346-258,#b6d634
354,24909-161,#708410
355,58160-812,#4cefe8
356,0699-7061,#f66610
357,43846-0017,#683d44
358,13537-550,#80e7be
359,55648-414,#8b1f86
360,49288-0379,#d5d21d
361,52533-006,#bfd25c
362,21695-254,#00c625
363,66658-112,#a49f0f
364,24909-164,#81895b
365,49230-197,#db731b
366,0093-7293,#fa72df
367,68788-9789,#2382b2
368,60505-0823,#2c1afa
369,54868-5203,#152df7
370,55111-349,#b26460
371,59503-2605,#0a1a63
372,55154-3479,#b1ab20
373,53590-102,#d112c2
374,44911-0079,#dd11b9
375,52605-120,#304572
376,59535-5701,#da6f7d
377,52125-199,#f98346
378,64720-329,#0be638
379,51811-066,#81b8d5
380,67544-988,#68ce73
381,68745-1090,#3baa09
382,61957-0520,#57d88a
383,0003-1611,#491749
384,11673-922,#b4d2b0
385,11523-7216,#6da13b
386,52125-497,#bfde03
387,0268-0905,#1017cc
388,51811-376,#285a25
389,43478-270,#0d1cd8
390,61594-001,#38875e
391,66506-181,#34ca2b
392,55154-3482,#8802b0
393,17856-0443,#6177a6
394,49884-301,#0d9bfe
395,53808-0904,#216520
396,59762-0009,#6d2eaf
397,36987-2700,#2a7285
398,55301-271,#0d3f1f
399,0093-5415,#aa8432
400,21695-878,#6dd4f2
