cart_id,total
#1e05bd,$0.00
#9c6d08,$0.00
#69e69f,$0.00
#29d44f,$0.00
#06a63c,$0.00
#939d70,$0.00
#128253,$0.00
#e2627e,$0.00
#75dd3d,$0.00
#d21973,$0.00
#5c09bd,$0.00
#49647a,$0.00
#828d02,$0.00
#ed76c5,$0.00
#1a2c5b,$0.00
#03467b,$0.00
#c22b4c,$0.00
#d366dc,$0.00
#37a92a,$0.00
#74af38,$0.00
#bcc142,$0.00
#77e309,$0.00
#37cf9f,$0.00
#929d73,$0.00
#027e99,$0.00
#0fdcaf,$0.00
#2c21d8,$0.00
#591a02,$0.00
#e8dfd8,$0.00
#ba8a08,$0.00
#3ea82c,$0.00
#3c2c95,$0.00
#d75124,$0.00
#316756,$0.00
#e06694,$0.00
#199f72,$0.00
#c3eb86,$0.00
#a2e056,$0.00
#711649,$0.00
#b2dbd1,$0.00
#3a3523,$0.00
#f598ff,$0.00
#f7d694,$0.00
#c2e22b,$0.00
#d68913,$0.00
#4dc874,$0.00
#8e48ae,$0.00
#ad7189,$0.00
#1f3b99,$0.00
#e430e5,$0.00
#a09b15,$0.00
#4b6739,$0.00
#4af96c,$0.00
#1027ef,$0.00
#9ef11f,$0.00
#361980,$0.00
#9f9320,$0.00
#6f40ec,$0.00
#879d0b,$0.00
#f463ab,$0.00
#85566a,$0.00
#16dee1,$0.00
#0c10d8,$0.00
#f5eae0,$0.00
#697750,$0.00
#add6b3,$0.00
#4e88e0,$0.00
#3d02ed,$0.00
#7175e5,$0.00
#b4facb,$0.00
#873e98,$0.00
#3ef0f7,$0.00
#6c84c1,$0.00
#7a85a3,$0.00
#516d2b,$0.00
#8d897b,$0.00
#c5c047,$0.00
#425134,$0.00
#3707a6,$0.00
#335eee,$0.00
#dac1bf,$0.00
#cafd87,$0.00
#458730,$0.00
#cd8144,$0.00
#0715e3,$0.00
#1d5811,$0.00
#525084,$0.00
#edc6db,$0.00
#3b36eb,$0.00
#19fa09,$0.00
#ed0a3c,$0.00
#122090,$0.00
#5db051,$0.00
#c8fc9e,$0.00
#33ccc3,$0.00
#d617bd,$0.00
#9b9a9a,$0.00
#c66bbe,$0.00
#3fe76d,$0.00
#b855a7,$0.00
#cdd2f7,$0.00
#2935c4,$0.00
#1004ee,$0.00
#80207b,$0.00
#51b128,$0.00
#986443,$0.00
#f202f4,$0.00
#260ef9,$0.00
#624cf2,$0.00
#995a91,$0.00
#c8b33c,$0.00
#a18587,$0.00
#40951a,$0.00
#7ad396,$0.00
#2f2518,$0.00
#373741,$0.00
#e2cda7,$0.00
#8065cb,$0.00
#c5e9dc,$0.00
#9d7a9f,$0.00
#0f703b,$0.00
#b47fc5,$0.00
#c64a1d,$0.00
#7a19a9,$0.00
#4783c7,$0.00
#8dcefb,$0.00
#62b5c0,$0.00
#724ad5,$0.00
#66b036,$0.00
#314488,$0.00
#077d53,$0.00
#da387f,$0.00
#c19e86,$0.00
#720f9c,$0.00
#598326,$0.00
#ad28a3,$0.00
#901d8a,$0.00
#e1d6eb,$0.00
#a0929e,$0.00
#8ccc91,$0.00
#943307,$0.00
#d35ebb,$0.00
#cd2faf,$0.00
#c5fdec,$0.00
#362e6d,$0.00
#c18a84,$0.00
#a85d62,$0.00
#719a89,$0.00
#8c9905,$0.00
#a31974,$0.00
#ed2678,$0.00
#91156e,$0.00
#f6bf00,$0.00
#f01b8a,$0.00
#85029e,$0.00
#b612ad,$0.00
#89020f,$0.00
#328d9f,$0.00
#a0d8e4,$0.00
#879f41,$0.00
#829795,$0.00
#cbed84,$0.00
#7631b7,$0.00
#cee644,$0.00
#1508bd,$0.00
#824d37,$0.00
#4a3879,$0.00
#9306ec,$0.00
#686196,$0.00
#33ed7c,$0.00
#507fa2,$0.00
#d0d898,$0.00
#ff5a00,$0.00
#92880d,$0.00
#3fcaf3,$0.00
#c7af0e,$0.00
#68f661,$0.00
#62c638,$0.00
#7214c5,$0.00
#8f55b9,$0.00
#196a46,$0.00
#03449b,$0.00
#4c9d87,$0.00
#1841b3,$0.00
#eabb88,$0.00
#3f44f0,$0.00
#b47313,$0.00
#68d0ea,$0.00
#166528,$0.00
#1448f2,$0.00
#146cbc,$0.00
#a6d9b5,$0.00
#91e1e5,$0.00
#e05488,$0.00
#ee959e,$0.00
#30c628,$0.00
#8b84a2,$0.00
#2cf76b,$0.00
#2fdc8d,$0.00
#5ce177,$0.00
#f872f4,$0.00
#c0bb39,$0.00
#3dc908,$0.00
#26eb8b,$0.00
#439293,$0.00
#1c41c5,$0.00
#5ba5a4,$0.00
#5a7430,$0.00
#6a9fc8,$0.00
#062588,$0.00
#2b5f63,$0.00
#903577,$0.00
#2d0a6a,$0.00
#499825,$0.00
#1b1c19,$0.00
#d34731,$0.00
#b62d66,$0.00
#6ddce7,$0.00
#c743c5,$0.00
#d475bd,$0.00
#a82f12,$0.00
#f28e41,$0.00
#ce4cec,$0.00
#eea8aa,$0.00
#d0bf1f,$0.00
#147c04,$0.00
#97ece0,$0.00
#d32c67,$0.00
#7e3f70,$0.00
#9749a1,$0.00
#94e91e,$0.00
#9f82f4,$0.00
#3dd70e,$0.00
#7942bb,$0.00
#f4faa2,$0.00
#0a23ce,$0.00
#09f0ce,$0.00
#b6d634,$0.00
#708410,$0.00
#4cefe8,$0.00
#f66610,$0.00
#683d44,$0.00
#80e7be,$0.00
#8b1f86,$0.00
#d5d21d,$0.00
#bfd25c,$0.00
#00c625,$0.00
#a49f0f,$0.00
#81895b,$0.00
#db731b,$0.00
#fa72df,$0.00
#2382b2,$0.00
#2c1afa,$0.00
#152df7,$0.00
#b26460,$0.00
#0a1a63,$0.00
#b1ab20,$0.00
#d112c2,$0.00
#dd11b9,$0.00
#304572,$0.00
#da6f7d,$0.00
#f98346,$0.00
#0be638,$0.00
#81b8d5,$0.00
#68ce73,$0.00
#3baa09,$0.00
#57d88a,$0.00
#491749,$0.00
#b4d2b0,$0.00
#6da13b,$0.00
#bfde03,$0.00
#1017cc,$0.00
#285a25,$0.00
#0d1cd8,$0.00
#38875e,$0.00
#34ca2b,$0.00
#8802b0,$0.00
#6177a6,$0.00
#0d9bfe,$0.00
#216520,$0.00
#6d2eaf,$0.00
#2a7285,$0.00
#0d3f1f,$0.00
#aa8432,$0.00
#6dd4f2,$0.00
